sample	classification	n_reads	p_reads
1A	Filtered	12975548	0.1653833735052444
1A	Duplicate	42621822	0.5432480159836057
1A	Ribosomal	22305549	0.28430143694174076
1A	Unassigned	255119	0.003251688550285849
1A	Bacterial	253167	0.0032268088037747775
1A	Archaeal	3628	4.6241660011355715e-5
1A	Viral	2374	3.025846220147698e-5
1A	Human	34642	4.4153902594084476e-4
1A	Other_filtered	5542	7.063706719485485e-5
1C	Filtered	7206785	0.1521058294741686
1C	Duplicate	25819562	0.5449456164808195
1C	Ribosomal	13971853	0.29488881517294474
1C	Unassigned	189588	0.004001429208495699
1C	Bacterial	165507	0.0034931775429378315
1C	Archaeal	2331	4.919790010445531e-5
1C	Viral	1744	3.6808724917275876e-5
1C	Human	19214	4.0552915169755655e-4
1C	Other_filtered	3487	7.359634391430101e-5
2A	Filtered	11140208	0.15660482578460153
2A	Duplicate	39567068	0.5562188597329136
2A	Ribosomal	19907753	0.2798556535324905
2A	Unassigned	251206	0.0035313588279542547
2A	Bacterial	234293	0.003293602278121885
2A	Archaeal	3298	4.6362035200565005e-5
2A	Viral	2282	3.207949191258015e-5
2A	Human	24891	3.4990825293428247e-4
2A	Other_filtered	4791	6.735006387080259e-5
2C	Filtered	8341903	0.1696803759780076
2C	Duplicate	24810488	0.504663376214977
2C	Ribosomal	15565274	0.31660899731400693
2C	Unassigned	202117	0.004111206825534529
2C	Bacterial	193340	0.0039326762600317925
2C	Archaeal	2653	5.396395012860425e-5
2C	Viral	1722	3.50267328011521e-5
2C	Human	40749	8.288643059896323e-4
2C	Other_filtered	4204	8.55124185226733e-5
6A	Filtered	11460366	0.16096763686085547
6A	Duplicate	37659854	0.5289549830175437
6A	Ribosomal	21557628	0.302789669674198
6A	Unassigned	243216	0.0034161129554457353
6A	Bacterial	241140	0.003386954304306397
6A	Archaeal	3471	4.875225342227546e-5
6A	Viral	2638	3.7052274424650725e-5
6A	Human	23954	3.3644813554514156e-4
6A	Other_filtered	4442	6.239052425864235e-5
6C	Filtered	9579785	0.17852641659511473
6C	Duplicate	28093400	0.523541398055718
6C	Ribosomal	15523151	0.2892854612389393
6C	Unassigned	227159	0.004233276870757503
6C	Bacterial	202964	0.003782385055385989
6C	Archaeal	2549	4.75025103278359e-5
6C	Viral	2513	4.6831623559769174e-5
6C	Human	24194	4.508731796279568e-4
6C	Other_filtered	4607	8.585487056898391e-5
SS1	Filtered	11037961	0.1806336745954842
SS1	Duplicate	30189305	0.4940409823547867
SS1	Ribosomal	19016121	0.3111944146914773
SS1	Unassigned	428077	0.007005380932203972
SS1	Bacterial	362676	0.005935108718683807
SS1	Archaeal	5514	9.023533256907683e-5
SS1	Viral	1319	2.158512942666165e-5
SS1	Human	55132	9.022224075441321e-4
SS1	Other_filtered	10779	1.7639583782409852e-4
SS2	Filtered	6919220	0.17672315174378753
SS2	Duplicate	21627936	0.5523970932609348
SS2	Ribosomal	9854135	0.25168354162879164
SS2	Unassigned	456592	0.011661773624917177
SS2	Bacterial	255403	0.006523224167582266
SS2	Archaeal	3491	8.91633049299722e-5
SS2	Viral	4211	1.0755275767978027e-4
SS2	Human	25185	6.432477326443282e-4
SS2	Other_filtered	6705	1.7125177873258767e-4
